2026-02-20 13:32:36,075 | INFO | TrainHomePage | Opening train module: ('css selector', "div.mainContainer>div>div:nth-child(2) a[href='/trains']")
2026-02-20 13:32:36,076 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) a[href='/trains']")
2026-02-20 13:32:40,249 | INFO | TrainHomePage | Select origin: del
2026-02-20 13:32:40,249 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='search-form-origin']")
2026-02-20 13:32:42,507 | INFO | TrainHomePage | Entering text 'del' into ('css selector', "input[placeholder='Enter Origin']")
2026-02-20 13:32:43,755 | INFO | TrainHomePage | Select city: New Delhi
2026-02-20 13:32:43,756 | INFO | TrainHomePage | Getting elements from ('css selector', "div[role='listitem']")
2026-02-20 13:32:44,144 | INFO | TrainHomePage | Select destination: kol
2026-02-20 13:32:44,145 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='search-form-destination']")
2026-02-20 13:32:46,349 | INFO | TrainHomePage | Entering text 'kol' into ('css selector', "input[placeholder='Enter Destination']")
2026-02-20 13:32:47,513 | INFO | TrainHomePage | Select city: Kolkata
2026-02-20 13:32:47,513 | INFO | TrainHomePage | Getting elements from ('css selector', "div[role='listitem']")
2026-02-20 13:32:47,887 | INFO | TrainHomePage | Select quick dates
2026-02-20 13:32:47,888 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='day-after-tomorrow']")
2026-02-20 13:32:50,149 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='tomorrow']")
2026-02-20 13:32:52,320 | INFO | TrainHomePage | Click search button
2026-02-20 13:32:52,321 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) button[data-testid='book-train-tickets']")
