2026-02-20 14:05:44,475 | INFO | TrainResultPage | Selecting result date: Sat, 28
2026-02-20 14:05:44,476 | INFO | TrainResultPage | Getting elements from ('xpath', "//div[@aria-label='Available dates']/button")
2026-02-20 14:05:46,670 | INFO | TrainResultPage | Result date found: Sat, 28
Few Seats
2026-02-20 14:05:47,906 | INFO | TrainResultPage | Applying filters
2026-02-20 14:06:04,041 | INFO | TrainResultPage | Clicking Best Available filter
2026-02-20 14:06:04,041 | INFO | TrainResultPage | Clicking element: ('xpath', "//p[text()='Best Available']")
2026-02-20 14:06:06,210 | INFO | TrainResultPage | Clicking AC Only filter
2026-02-20 14:06:06,234 | INFO | TrainResultPage | Clicking element: ('xpath', "//p[text()='AC Only']")
2026-02-20 14:06:08,351 | INFO | TrainResultPage | Scrolling to train results section
2026-02-20 14:06:08,353 | INFO | TrainResultPage | Scrolling ('id', 'train-card-list')
2026-02-20 14:06:08,355 | INFO | TrainResultPage | Scrolling until element visible: ('id', 'train-card-list')
2026-02-20 14:06:09,426 | INFO | TrainResultPage | Selecting train: Netaji
2026-02-20 14:06:09,427 | INFO | TrainResultPage | Getting elements from ('css selector', '#train-card-list>div')
2026-02-20 14:06:10,606 | INFO | TrainResultPage | Selecting coach: 3A
2026-02-20 14:06:10,607 | INFO | TrainResultPage | Getting elements from ('css selector', '#tg-available-row>div')
2026-02-20 14:06:11,845 | INFO | TrainResultPage | Selecting quota: General
2026-02-20 14:06:11,845 | INFO | TrainResultPage | Getting elements from ('css selector', "button[role='tab']")
2026-02-20 14:06:11,913 | INFO | TrainResultPage | Quota found: General
2026-02-20 14:06:12,986 | INFO | TrainResultPage | Searching quota date containing: 28
2026-02-20 14:06:12,987 | INFO | TrainResultPage | Getting elements from ('css selector', "div[role='tabpanel']>div")
2026-02-20 14:06:13,052 | INFO | TrainResultPage | Clicking Book button
2026-02-20 14:06:13,052 | INFO | TrainResultPage | Clicking element: ('tag name', 'button')
