2026-02-20 15:01:59,052 | INFO | TrainHomePage | Opening train module: ('css selector', "div.mainContainer>div>div:nth-child(2) a[href='/trains']")
2026-02-20 15:01:59,053 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) a[href='/trains']")
2026-02-20 15:02:03,165 | INFO | TrainHomePage | Select origin: del
2026-02-20 15:02:03,166 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='search-form-origin']")
2026-02-20 15:02:05,889 | INFO | TrainHomePage | Entering text 'del' into ('css selector', "input[placeholder='Enter Origin']")
2026-02-20 15:02:07,317 | INFO | TrainHomePage | Select city: New Delhi
2026-02-20 15:02:07,317 | INFO | TrainHomePage | Getting elements from ('css selector', "div[role='listitem']")
2026-02-20 15:02:07,766 | INFO | TrainHomePage | Select destination: kol
2026-02-20 15:02:07,767 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='search-form-destination']")
2026-02-20 15:02:10,005 | INFO | TrainHomePage | Entering text 'kol' into ('css selector', "input[placeholder='Enter Destination']")
2026-02-20 15:02:11,215 | INFO | TrainHomePage | Select city: Kolkata
2026-02-20 15:02:11,215 | INFO | TrainHomePage | Getting elements from ('css selector', "div[role='listitem']")
2026-02-20 15:02:11,578 | INFO | TrainHomePage | Select quick dates
2026-02-20 15:02:11,579 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='day-after-tomorrow']")
2026-02-20 15:02:13,936 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='tomorrow']")
2026-02-20 15:02:16,098 | INFO | TrainHomePage | Click search button
2026-02-20 15:02:16,099 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) button[data-testid='book-train-tickets']")
