2026-02-20 13:41:36,368 | INFO | TrainRunningStatusPage | Redirecting back to Trains module from Running Status page
2026-02-20 13:41:36,369 | INFO | TrainRunningStatusPage | Clicking element: ('css selector', "div.mainContainer>div a[href='/trains']")
2026-02-20 13:41:40,343 | INFO | TrainRunningStatusPage | Navigating to Running Status section
2026-02-20 13:41:40,343 | INFO | TrainRunningStatusPage | Getting elements from ('css selector', "div[data-testid='submenu-container']>div>div>div")
2026-02-20 13:41:40,509 | INFO | TrainRunningStatusPage | Entering train number: 12301
2026-02-20 13:41:40,510 | INFO | TrainRunningStatusPage | Clicking element: ('xpath', "//input[@type='search']")
2026-02-20 13:41:42,775 | INFO | TrainRunningStatusPage | Entering text '12301' into ('xpath', "//input[@type='search']")
2026-02-20 13:41:43,954 | INFO | TrainRunningStatusPage | Selecting train suggestion from autocomplete
2026-02-20 13:41:43,954 | INFO | TrainRunningStatusPage | Clicking element: ('css selector', 'div.seoAutocompleterDesktop_suggestionsBox__puLgh')
2026-02-20 13:41:46,130 | INFO | TrainRunningStatusPage | Clicking Check Live Status button
2026-02-20 13:41:46,131 | INFO | TrainRunningStatusPage | Clicking element: ('xpath', "//button[text()='Check Live Status']")
