2026-02-20 14:10:21,165 | INFO | TrainHomePage | Opening train module: ('css selector', "div.mainContainer>div>div:nth-child(2) a[href='/trains']")
2026-02-20 14:10:21,166 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) a[href='/trains']")
2026-02-20 14:10:25,118 | INFO | TrainHomePage | Select origin: del
2026-02-20 14:10:25,119 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='search-form-origin']")
2026-02-20 14:10:27,919 | INFO | TrainHomePage | Entering text 'del' into ('css selector', "input[placeholder='Enter Origin']")
2026-02-20 14:10:29,075 | INFO | TrainHomePage | Select city: New Delhi
2026-02-20 14:10:29,076 | INFO | TrainHomePage | Getting elements from ('css selector', "div[role='listitem']")
2026-02-20 14:10:29,401 | INFO | TrainHomePage | Select destination: kol
2026-02-20 14:10:29,401 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='search-form-destination']")
2026-02-20 14:10:31,564 | INFO | TrainHomePage | Entering text 'kol' into ('css selector', "input[placeholder='Enter Destination']")
2026-02-20 14:10:32,704 | INFO | TrainHomePage | Select city: Kolkata
2026-02-20 14:10:32,704 | INFO | TrainHomePage | Getting elements from ('css selector', "div[role='listitem']")
2026-02-20 14:10:33,069 | INFO | TrainHomePage | Select quick dates
2026-02-20 14:10:33,070 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='day-after-tomorrow']")
2026-02-20 14:10:35,328 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) div[data-testid='tomorrow']")
2026-02-20 14:10:37,533 | INFO | TrainHomePage | Click search button
2026-02-20 14:10:37,533 | INFO | TrainHomePage | Clicking element: ('css selector', "div.mainContainer>div>div:nth-child(2) button[data-testid='book-train-tickets']")
